filename	Cadaverine-C2:0	Cadaverine-C3:0	Cadaverine-C5:0	Cadaverine-C6:0	Cadaverine-C7:0	Dopamine-C2:0	Histamine-C2:0	Histamine-C3:0	Histamine-C4:0	Histamine-C5:0	Histamine-C6:0	Serotonin-C2:0	Sulfadimethoxine	Sulfamethazine	Tryptophan-C3:0
HNRC_100H2O_P3_B9.mzML	1.1245543407504908	0.4535182663432676	0.0057556360922028	0.0110276233106775	0.0	0.0	0.1096794936797617	0.0422244549408848	0.0234597809978137	0.0125304185112298	0.028655659531311	0.0	2.9548202130170407	1.0	0.0
HNRC_100H2O_P3_C1.mzML	0.2965667430968535	0.1278516485536898	0.0	0.0	0.0	0.0012871733740425	0.1754024706550542	0.0355466564202948	0.0028832141824666	0.0	0.0	0.0	0.7716990884923145	1.0	0.0018648015254164
HNRC_100H2O_P3_C10.mzML	0.2795669625798584	0.1736768690325588	0.0187770858595742	0.0	0.0	0.0022541141328942	0.0	0.0054884091224158	0.0	0.0	0.0	0.0	1.318673045400146	1.0	0.0
HNRC_100H2O_P3_C11.mzML	26.0513095689884	14.348511999157576	0.5820790175664662	0.0013930787830215	0.0	0.0026214224191123	0.1067593000840104	0.0494464885800762	0.0066930512569837	0.0	0.0	0.0015608145399547	0.8149352395418463	1.0	0.0026934867930388
HNRC_100H2O_P3_C12.mzML	0.7893684176524866	0.2652578799800059	0.157100910748149	0.0080663026067735	0.0	0.0049231590852014	0.0040728892048993	0.011342288000261	0.0031053712211237	0.0	0.0	0.0243275236499482	0.7916341659990721	1.0	0.0
HNRC_100H2O_P3_C2.mzML	4.0791996483497766	1.2831593646791537	0.0068637798126784	0.0	0.0	0.0182292346130668	1.3679953505537183	0.7666750952540007	0.1764065140439457	0.0	0.0	0.0293279360809049	1.887190614362712	1.0	0.0
HNRC_100H2O_P3_C4.mzML	1.457568224999685	0.8161884176576744	0.1023988022609787	0.0060468888583836	0.0	0.0024306852625199	0.0038868643309129	0.0	0.0002848504444488	0.0	0.0	0.0003948406216623	0.6730224607156301	1.0	0.0012625453373172
HNRC_100H2O_P3_C5.mzML	22.863730317738277	13.106383911568887	0.5465876369058079	0.0187560805605905	0.0	0.0020815988900132	1.692367993872126	0.920213080565644	0.3019308611301563	0.0846454781839325	0.0025682394682324	0.0	0.810408574525493	1.0	0.0029583668834013
HNRC_100H2O_P3_C6.mzML	1.1199213931732304	0.5882919823368657	0.6090366320030913	0.0025035336614611	0.0	0.0016246138919575	0.0548813507577973	0.0341016395499444	0.0220761260790045	0.0012890864341722	0.0	0.0	0.9725937805916056	1.0	0.0
HNRC_100H2O_P3_C7.mzML	0.2385334891261942	0.3288911334355625	0.0036231672656926	0.0	0.0	0.0020927012182788	0.0412209087734402	0.0204771484115006	0.0253696983029613	0.0030315246436241	0.0	0.0	1.0324515636048053	1.0	0.0
